scores,layer,head
0.5031866,23,17
0.5031751,17,17
0.50285816,21,0
0.50285774,15,22
0.5026317,16,5
0.5025946,26,4
0.50255233,4,6
0.502545,10,31
0.5024655,21,4
0.5024463,19,6
0.5024334,29,19
0.5023029,11,28
0.50199777,27,29
0.50193506,14,25
0.50181824,14,23
0.5016198,7,29
0.50160635,24,24
0.50139165,24,19
0.50131166,23,11
0.5012824,27,3
0.5011124,9,23
0.50065035,11,7
0.50054026,30,27
0.50054014,18,26
0.5005053,18,25
0.5004396,8,28
0.50034,14,17
0.5003373,17,25
0.500335,16,17
0.5002522,28,9
0.50006986,7,23
0.49999455,28,19
0.4999588,25,16
0.4999226,22,6
0.4997493,27,9
0.49974754,18,0
0.49971998,16,20
0.4996856,13,5
0.4996006,31,15
0.4994686,28,24
0.49909294,16,28
0.49895695,19,24
0.49848574,8,6
0.49845445,27,12
0.49845338,9,16
0.49843717,27,18
0.49818897,27,30
0.49810547,26,2
0.49806413,7,21
0.49792948,20,29
0.49791187,25,14
0.4977807,15,24
0.4976572,20,31
0.49737394,1,25
0.49730787,5,9
0.49723428,21,10
0.497167,21,15
0.4970993,24,4
0.4969361,14,26
0.49691692,26,14
0.49672374,26,6
0.49634746,16,23
0.49619287,25,24
0.49618554,12,5
0.49607182,28,3
0.49603775,16,25
0.49594653,22,1
0.4958409,23,29
0.49577075,8,5
0.49557382,6,26
0.49529696,28,10
0.49526966,12,27
0.49512905,19,5
0.4950493,27,19
0.49495283,8,27
0.49487147,16,21
0.49477583,10,18
0.4946922,7,27
0.494674,19,12
0.4946108,10,9
0.49455315,26,27
0.494445,29,24
0.49442998,9,2
0.4941713,25,30
0.49415398,22,11
0.49413943,26,11
0.49411905,23,4
0.49399236,15,6
0.4938425,18,3
0.49371937,20,0
0.49369353,25,0
0.49363378,28,6
0.49344507,22,28
0.4932944,29,22
0.49329257,23,0
0.49328247,21,14
0.49312523,14,20
0.4928551,4,22
0.4925581,10,12
0.4923553,16,18
0.49198198,11,22
0.49180734,13,7
0.49172586,24,12
0.49147362,18,22
0.4914153,11,18
0.4911467,21,23
0.49107715,29,5
0.49105412,27,31
0.49105212,26,23
0.4910057,11,30
0.4906693,9,27
0.49028173,16,24
0.49026465,29,9
0.49017695,24,15
0.49015605,11,11
0.49011052,23,9
0.49005917,17,15
0.4900358,29,23
0.48992342,25,11
0.48977375,10,0
0.48949015,31,24
0.48946932,28,22
0.48941857,10,1
0.48934585,29,1
0.4893406,26,5
0.48903254,24,26
0.48899242,10,6
0.48897725,26,26
0.4889475,16,22
0.48893732,20,19
0.48873827,19,0
0.48865214,20,6
0.48862955,20,8
0.4885664,13,28
0.48836026,20,15
0.48833942,12,14
0.4883321,17,31
0.4883024,20,26
0.48829472,16,1
0.4881767,17,16
0.48811564,17,12
0.48805192,19,14
0.48795238,11,12
0.48787338,15,29
0.4878448,9,31
0.48756903,5,29
0.48756492,28,18
0.48752612,24,5
0.48748168,28,28
0.48747164,13,22
0.48743913,22,14
0.48731217,14,18
0.48718667,21,24
0.48713365,26,20
0.48703605,28,17
0.48694766,11,3
0.48684815,21,16
0.48668513,17,1
0.48666915,24,18
0.4866,25,13
0.48653787,22,8
0.48643896,16,31
0.4860135,29,21
0.48591256,28,2
0.4858803,11,19
0.4858112,11,0
0.4855346,25,19
0.48544702,23,6
0.48539656,27,16
0.48508748,19,15
0.4850873,9,30
0.48462328,23,10
0.48454142,15,15
0.48453978,28,27
0.4845144,1,11
0.48451227,12,7
0.48440763,12,2
0.48440555,28,29
0.48435637,28,15
0.48420975,25,20
0.48417062,23,30
0.48403108,22,15
0.48402053,20,16
0.4837299,25,1
0.48360595,24,1
0.4835788,29,3
0.48346362,26,16
0.48336706,15,2
0.48331144,30,2
0.48308936,18,1
0.48284733,7,20
0.48280337,29,4
0.4825734,17,23
0.48230654,29,15
0.4822786,21,19
0.4821805,30,26
0.48207858,10,24
0.48189998,29,26
0.48162588,25,31
0.48145995,15,20
0.48097384,4,18
0.48071346,26,25
0.4806101,12,19
0.48018742,14,5
0.47998992,18,23
0.47995698,11,15
0.47986645,11,10
0.47984692,30,17
0.47971672,18,21
0.47940418,27,4
0.47932178,11,20
0.4791133,11,21
0.47899008,26,17
0.47886702,26,24
0.47875413,12,24
0.4786315,28,16
0.47852656,26,28
0.47848082,8,30
0.47847322,18,16
0.47842234,15,8
0.47835082,18,28
0.47827148,17,10
0.4782161,8,24
0.47745556,11,5
0.47741765,30,25
0.47727725,7,31
0.47713336,14,29
0.4769357,22,18
0.47649658,11,16
0.47641286,31,14
0.47640446,17,13
0.47612116,17,6
0.4760497,29,10
0.47603858,22,29
0.47578534,10,13
0.47576642,9,10
0.4754455,17,26
0.47510102,11,27
0.47507983,27,26
0.47493342,21,20
0.4747766,22,26
0.474402,28,25
0.4743254,14,16
0.4737117,18,31
0.47363636,14,7
0.47332543,19,2
0.47329712,10,30
0.47320756,25,18
0.47281763,28,20
0.4723802,28,26
0.4714427,15,30
0.47138768,5,3
0.471381,20,11
0.47123075,21,21
0.470218,11,29
0.47021016,24,6
0.4698474,25,29
0.4697993,11,2
0.4696938,24,17
0.4695192,26,9
0.46950725,25,23
0.4694803,26,30
0.46942326,11,25
0.46924242,20,24
0.46890318,20,10
0.46847224,19,26
0.46846336,24,31
0.46826544,24,8
0.4681275,5,12
0.46812308,7,19
0.46811792,23,18
0.467859,8,25
0.4677536,24,16
0.4675729,21,13
0.46754134,26,19
0.46751082,7,30
0.46728784,23,7
0.46714807,21,18
0.46682063,30,1
0.46664143,30,3
0.4665295,15,28
0.46651325,8,15
0.46524528,20,2
0.46428943,9,11
0.46424013,18,20
0.4638929,6,7
0.46342033,15,5
0.46287954,20,23
0.46263695,9,3
0.46252295,8,31
0.46216002,12,30
0.46200454,10,15
0.46175098,28,7
0.46104306,29,18
0.46065202,29,27
0.4606294,12,29
0.46034145,16,4
0.45989698,11,8
0.45946354,22,23
0.45879248,30,8
0.45831153,14,1
0.4580087,6,22
0.45435238,9,6
0.4540635,9,9
0.4540629,18,17
0.4537966,17,18
0.45344546,23,20
0.45222086,17,28
0.45218155,17,4
0.45204312,30,21
0.45177782,19,25
0.45155022,20,20
0.45056078,8,22
0.44997412,13,6
0.44958934,27,27
0.4494895,3,10
0.44935963,8,12
0.4491335,19,3
0.44875142,15,31
0.44853282,18,10
0.44841006,13,9
0.44823116,16,0
0.4480568,17,19
0.44774225,0,26
0.44756863,15,12
0.44673973,21,26
0.4465456,10,19
0.4464422,22,22
0.44627103,23,27
0.44626677,11,31
0.4462147,14,12
0.44511458,31,22
0.44446552,7,3
0.44417256,25,4
0.4432653,24,28
0.44309777,15,14
0.44295564,4,2
0.4417099,9,25
0.44143653,30,28
0.44066626,24,27
0.4403012,23,25
0.44024482,14,22
0.4398366,17,9
0.43976644,17,5
0.43945637,28,0
0.4389391,19,27
0.43820214,23,3
0.43818685,13,4
0.43806314,14,15
0.43761742,27,13
0.43745738,25,17
0.4364445,17,29
0.43599555,10,28
0.43571314,12,4
0.43547842,27,21
0.43537128,18,27
0.43507567,28,23
0.4342379,30,20
0.43413436,30,23
0.43404394,13,29
0.43393317,16,6
0.43370715,18,11
0.43296903,15,21
0.43165097,5,6
0.43092605,8,14
0.43074813,26,0
0.43015084,29,28
0.42990428,19,13
0.42924935,22,21
0.42796072,0,31
0.42705223,25,6
0.42678514,30,14
0.4249445,21,27
0.4243732,12,0
0.4242597,22,12
0.4241468,23,1
0.42153117,28,31
0.42120218,21,25
0.4207323,6,2
0.4198513,18,9
0.41687238,10,17
0.4164395,12,3
0.4162505,12,31
0.4155219,17,20
0.4154721,31,9
0.41519704,12,1
0.41519466,19,23
0.4139048,18,8
0.41324425,14,4
0.41133428,0,18
0.41125342,20,28
0.41050443,23,5
0.4103759,26,22
0.40969983,27,20
0.4095761,29,0
0.4091747,8,10
0.40864745,14,28
0.40758651,13,30
0.40722722,8,3
0.40684444,13,1
0.40367237,28,13
0.40366894,21,7
0.40156665,18,5
0.40119955,21,28
0.3995909,23,2
0.39936996,18,6
0.3988751,25,2
0.39845857,9,29
0.3974156,30,9
0.39674446,20,21
0.3962923,15,13
0.39584008,8,1
0.39491186,23,19
0.39410928,16,27
0.39350817,30,11
0.39295667,18,2
0.39208737,31,12
0.39149454,17,22
0.38790795,11,24
0.38635498,3,26
0.38616621,23,24
0.38565513,5,25
0.38533258,10,16
0.38527232,22,13
0.38494352,19,30
0.3821242,25,21
0.38048998,27,22
0.37923652,13,2
0.37888968,13,20
0.37740445,6,20
0.37699205,26,29
0.37635633,17,11
0.3762119,19,1
0.3746477,27,23
0.37283167,9,24
0.37246484,14,13
0.37101558,29,31
0.36882105,13,31
0.36846387,21,30
0.36820084,10,14
0.3672067,28,11
0.3659093,11,26
0.36356452,19,21
0.3627737,17,7
0.35858643,18,18
0.3564004,12,6
0.35039258,11,17
0.3479567,31,20
0.3440902,18,4
0.33926696,22,16
0.33782852,20,3
0.33667406,28,30
0.33291823,16,2
0.32301253,29,13
0.31971973,19,28
0.3180297,30,12
0.31352478,24,29
0.31148332,20,22
0.30199268,27,15
0.2974873,18,7
0.29526317,16,26
0.29453686,14,14
0.2895092,19,20
0.2862874,20,1
0.27602535,31,26
0.25557235,28,14
0.24672161,30,19
0.2352751,19,22
0.19810401,30,15
0.19624689,31,8
0.16527873,0,10
0.07338208,31,2
0.069418885,31,1
0.04452229,31,0
0.03519072,31,3
