scores,layer,head
0.14796716,5,13
0.1462807,14,5
0.14481527,11,12
0.1393901,17,13
0.12576616,1,4
0.12029732,15,13
0.11373571,12,7
0.10415237,14,9
0.09323519,14,3
0.09276713,14,7
0.09211892,8,6
0.08596026,9,5
0.059149068,10,13
0.022661606,15,15
0.017994914,13,9
